Country_Name,Population_2020,Land_Area_Km,Density_P/Km
Afghanistan,"38,041,750","652,230",56.94
Albania,"2,854,190","28,748",104.61
Algeria,"43,053,050","2,381,740",17.73
Andorra,"77,140",468,163.84
Angola,"31,825,290","1,246,700",24.71
Antigua and Barbuda,"97,120",443,218.83
Argentina,"44,938,710","2,780,400",16.26
Armenia,"2,957,730","29,743",103.68
Australia,"25,364,310","7,741,220",3.25
Austria,"8,877,070","83,871",107.13
Azerbaijan,"10,023,320","86,600",120.26
Bahamas,"389,480","13,880",38.53
Bahrain,"1,641,170",760,2012.1
Bangladesh,"163,046,160","148,460",1239.58
Barbados,"287,020",430,666.61
Belarus,"9,466,860","207,600",46.72
Belgium,"11,484,060","30,528",377.38
Belize,"390,350","22,966",16.79
Benin,"11,801,150","112,622",101.85
Bhutan,"763,090","38,394",19.78
Bolivia,"11,513,100","1,098,581",10.48
Bosnia and Herzegovina,"3,301,000","51,197",64.92
Botswana,"2,303,700","581,730",3.98
Brazil,"211,049,530","8,515,770",25.06
Brunei,"433,290","5,765",81.4
Bulgaria,"6,975,760","110,879",64.71
Burkina Faso,"20,321,380","274,200",72.19
Burundi,"11,530,580","27,830",435.18
Cote d'Ivoire,"25,716,540","322,463",78.83
Cabo Verde,"549,930","4,033",134.93
Cambodia,"16,486,540","181,035",92.06
Cameroon,"25,876,380","475,440",53.34
Canada,"37,589,260","9,984,670",4.13
Central African Republic,"4,745,190","622,984",7.49
Chad,"15,946,880","1,284,000",12.29
Chile,"18,952,040","756,102",25.19
China,"1,397,715,000","9,596,960",147.77
Colombia,"50,339,440","1,138,910",44.76
Comoros,"850,890","2,235",447.24
Congo ,"5,380,510","342,000",15.36
Costa Rica,"5,047,560","51,100",97.91
Croatia,"4,067,500","56,594",72.24
Cuba,"11,333,480","110,860",109.23
Cyprus,"1,198,580","9,251",128.71
Czechia,"10,669,710","78,867",137.69
Congo,"86,790,570","2,344,858",37.08
Denmark,"5,818,550","43,094",144.84
Djibouti,"973,560","23,200",41.37
Dominica,"71,810",751,95.5
Dominican Republic,"10,738,960","48,670",219.98
Ecuador,"17,373,660","283,561",68.79
Egypt,"100,388,070","1,001,450",98.87
El Salvador,"6,453,550","21,041",309.88
Equatorial Guinea,"1,355,990","28,051",46.67
Eritrea,"3,213,970","117,600",34.19
Estonia,"1,326,590","45,228",30.41
Eswatini ,"1,148,130","17,364",66.06
Ethiopia,"112,078,730","1,104,300",96.72
Fiji,"889,950","18,274",48.36
Finland,"5,520,310","338,145",18.15
France,"67,059,890","643,801",122.3
Gabon,"2,172,580","267,667",8.22
Gambia,"2,347,710","11,300",225.31
Georgia,"3,720,380","69,700",65.2
Germany,"83,132,800","357,022",237.29
Ghana,"30,417,860","238,533",130.82
Greece,"10,716,320","131,957",83.27
Grenada,"112,000",344,327.81
Guatemala,"16,604,030","108,889",152.55
Guinea,"12,771,250","245,857",50.52
Guinea-Bissau,"1,920,920","36,125",66.65
Guyana,"782,770","214,969",3.96
Haiti,"11,263,080","27,750",403.6
Holy See,825,0.44,Data Not Available
Honduras,"9,746,120","112,090",85.69
Hungary,"9,769,950","93,028",107.12
Iceland,"361,310","103,000",3.5
India,"1,366,417,750","3,287,263",454.94
Indonesia,"270,625,570","1,904,375",142.56
Iran,"82,913,910","1,648,195",50.22
Iraq,"39,309,780","438,317",88.53
Ireland,"4,941,440","70,273",70.65
Israel,"9,053,300","21,937",410.48
Italy,"60,297,400","301,340",202.94
Jamaica,"2,948,280","10,991",270.99
Japan,"126,264,930","377,915",347.13
Jordan,"10,101,690","89,342",112.14
Kazakhstan,"18,513,930","2,724,900",6.77
Kenya,"52,573,970","580,387",90.3
Kiribati,"117,610",811,143.02
Kuwait,"4,207,080","17,818",232.17
Kyrgyzstan,"6,456,900","199,951",32.97
Laos,"7,169,450","236,800",30.6
Latvia,"1,912,790","64,589",31.04
Lebanon,"6,855,710","10,400",669.49
Lesotho,"2,125,270","30,355",69.44
Liberia,"4,937,370","111,369",50.03
Libya,"6,777,450","1,759,540",3.8
Liechtenstein,"38,020",160,236.94
Lithuania,"2,786,840","65,300",44.73
Luxembourg,"619,900","2,586",250.19
Madagascar,"26,969,310","587,041",45.14
Malawi,"18,628,750","118,484",192.44
Malaysia,"31,949,780","329,847",95.96
Maldives,"530,950",298,1718.99
Mali,"19,658,030","1,240,192",15.64
Malta,"502,650",316,1514.47
Marshall Islands,"58,790",181,324.52
Mauritania,"4,525,700","1,030,700",4.27
Mauritius,"1,265,710","2,040",623.3
Mexico,"127,575,530","1,964,375",64.91
Micronesia,"113,810",702,160.91
Moldova,"2,657,640","33,851",94.26
Monaco,"38,960",2,19083.37
Mongolia,"3,225,170","1,564,116",2.04
Montenegro,"622,140","13,812",46.26
Morocco,"36,471,770","716,550",80.73
Mozambique,"30,366,040","799,380",37.51
Myanmar,"54,045,420","676,578",82.28
Namibia,"2,494,530","824,292",2.97
Nauru,"12,580",21,635.2
Nepal,"28,608,710","147,181",195.94
Netherlands,"17,332,850","41,543",511.78
New Zealand,"4,917,000","268,838",18.39
Nicaragua,"6,545,500","130,370",53.73
Niger,"23,310,720","1,267,000",17.72
Nigeria,"200,963,600","923,768",215.06
North Korea,"25,666,160","120,538",212.19
North Macedonia,"2,083,460","25,713",82.59
Norway,"5,347,900","323,802",14.55
Oman,"4,974,990","309,500",15.6
Pakistan,"216,565,320","796,095",275.29
Palau,"18,010",459,38.93
Panama,"4,246,440","75,420",56.31
Papua New Guinea,"8,776,110","462,840",19
Paraguay,"7,044,640","406,752",17.51
Peru,"32,510,450","1,285,216",24.99
Philippines,"108,116,620","300,000",357.69
Poland,"37,970,870","312,685",124.03
Portugal,"10,269,420","92,090",112.26
Qatar,"2,832,070","11,586",242.1
Romania,"19,356,540","238,391",84.63
Russia,"144,373,540","17,098,242",8.82
Rwanda,"12,626,950","26,338",498.66
Saint Kitts and Nevis,"52,830",261,202
Saint Lucia,"182,790",616,298.18
Saint Vincent and the Grenadines,"110,590",389,282.59
Samoa,"197,100","2,831",69.3
San Marino,"33,860",61,563.08
Sao Tome and Principe,"215,060",964,219.82
Saudi Arabia,"34,268,530","2,149,690",15.68
Senegal,"16,296,360","196,722",82.35
Serbia,"6,944,980","77,474",79.84
Seychelles,"97,630",455,210.35
Sierra Leone,"7,813,220","71,740",105.99
Singapore,"5,703,570",719,7953
Slovakia,"5,454,070","49,035",113.29
Slovenia,"2,087,950","20,273",102.99
Solomon Islands,"669,820","28,896",23.32
Somalia,"15,442,910","637,657",23.92
South Africa,"58,558,270","1,219,090",47.63
South Korea,"51,709,100","99,720",529.19
South Sudan,"11,062,110","644,329",17.37
Spain,"47,076,780","505,370",93.67
Sri Lanka,"21,803,000","65,610",350.28
State of Palestine,"4,685,310","6,020",759
Sudan,"42,813,240","1,861,484",22.6
Suriname,"581,360","163,820",3.69
Sweden,"10,285,450","450,295",24.98
Switzerland,"8,574,830","41,277",215.47
Syria,"17,070,130","187,437",92.07
Tajikistan,"9,321,020","144,100",65.57
Tanzania,"58,005,460","947,300",63.58
Thailand,"69,625,580","513,120",135.9
Timor-Leste,"1,293,120","14,874",85.27
Togo,"8,082,370","56,785",145.05
Tonga,"104,490",747,143.33
Trinidad and Tobago,"1,394,970","5,128",270.93
Tunisia,"11,694,720","163,610",74.44
Turkey,"83,429,620","783,562",106.96
Turkmenistan,"5,942,090","488,100",12.45
Tuvalu,"11,650",26,383.6
Uganda,"44,269,590","241,038",213.06
Ukraine,"44,385,150","603,550",77.02
United Arab Emirates,"9,770,530","83,600",135.61
United Kingdom,"66,834,400","243,610",274.71
United States of America,"328,239,520","9,833,517",35.71
Uruguay,"3,461,730","176,215",19.71
Uzbekistan,"33,580,650","447,400",74.81
Vanuatu,"299,880","12,189",24.01
Venezuela,"28,515,830","912,050",32.73
Vietnam,"96,462,110","331,210",308.13
Yemen,"29,161,920","527,968",53.98
Zambia,"17,861,030","752,618",23.34
Zimbabwe,"14,645,470","390,757",37.32
