ladder_score,log_gdp_per_cap,social_support,healty_life_exp,freedom,generosity,percept_corrupt,ladder_score_distopia,ac_male,ac_female,population_2021,covid_total_cases,covid_total_deaths,covid_total_recovered,covid_active_cases,covid_serious_critical,covid_cases_per_mil,covid_deaths_per_mil,covid_total_tests,covid_tests_per_mil,covid_who_region,land_area_skm,density_skm,meat_consumption,median_age,suicide_rate
6,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,11.65,3.22,212710692.0,2917562.0,98644.0,2047660.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,8515770.0,25.06,82.4,32.6,82.4
3,8.755,0.603,60.633,0.893,0.089,0.774,2.43,9.06,1.89,1381344997.0,2025409.0,41638.0,1377384.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,3287263.0,454.94,5.2,28.1,5.2
5,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,17.99,4.31,145940924.0,871894.0,14606.0,676357.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,17098242.0,8.82,51.0,39.6,51.0
4,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,15.74,3.46,59381566.0,538184.0,9604.0,387316.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,1219090.0,47.63,39.0,27.1,39.0
6,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,8.13,2.18,129066160.0,462690.0,50517.0,308848.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,1964375.0,64.91,58.6,28.3,58.6
5,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,10.41,3.24,33016319.0,455409.0,20424.0,310337.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,1285216.0,24.99,34.5,28.0,34.5
6,10.071,0.882,70.0,0.742,-0.044,0.83,2.43,13.74,4.36,19132514.0,366671.0,9889.0,340168.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,756102.0,25.19,66.4,34.4,66.4
6,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,8.84,2.27,50936262.0,357710.0,11939.0,192355.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,1138910.0,44.76,33.9,30.0,33.9
4,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.76,0.25,84097623.0,320117.0,17976.0,277463.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,1648195.0,50.22,23.1,30.3,23.1
6,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,0.0,0.0,34865919.0,284226.0,3055.0,247089.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,2149690.0,15.68,44.6,27.5,44.6
4,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.52,0.095,221295851.0,281863.0,6035.0,256058.0,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,796095.0,275.29,12.3,23.8,12.3
6,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,12.74,3.61,60452568.0,249204.0,35187.0,201323.0,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,301340.0,202.94,90.4,45.5,90.4
4,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,3.12,0.48,84428331.0,237265.0,5798.0,220546.0,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe,783562.0,106.96,19.3,30.9,19.3
5,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,14.66,4.64,45236884.0,228195.0,4251.0,99852.0,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas,2780400.0,16.26,79.7,31.7,79.7
7,10.873,0.903,72.5,0.875,0.011,0.46,2.43,19.71,6.15,83811260.0,215210.0,9252.0,196200.0,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,357022.0,237.29,82.1,47.1,82.1
6,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,19.21,5.83,65288306.0,195633.0,30312.0,82460.0,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,643801.0,122.3,101.1,41.4,101.1
4,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.64,0.1,40306025.0,140603.0,5161.0,101025.0,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,438317.0,88.53,18.2,20.0,18.2
5,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,11.22,2.87,109722719.0,119460.0,2150.0,66837.0,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific,300000.0,357.69,31.1,23.5,31.1
7,10.776,0.926,73.8,0.915,0.089,0.415,2.43,13.73,4.01,37775022.0,118561.0,8966.0,103106.0,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0,Americas,9984670.0,4.13,108.1,42.2,108.1
6,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,8.33,2.02,18798667.0,95942.0,1058.0,68871.0,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,2724900.0,6.77,44.8,30.6,44.8
4,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.24,0.037,102516525.0,95006.0,4951.0,48898.0,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,1001450.0,98.87,22.5,23.9,22.5
5,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,5.01,1.56,17668824.0,90537.0,5877.0,71318.0,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,283561.0,68.79,45.0,27.7,45.0
5,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,6.0,1.84,11688459.0,86423.0,3465.0,27373.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas,1098581.0,10.48,50.0,24.3,50.0
7,10.575,0.939,73.503,0.8,0.031,0.753,2.43,6.84,2.02,9197590.0,79559.0,576.0,53427.0,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,21937.0,410.48,97.1,29.9,97.1
4,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,14.0,3.65,43705858.0,76808.0,1819.0,42524.0,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe,603550.0,77.02,32.3,40.6,32.3
5,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,10.62,2.8,10858648.0,76536.0,1246.0,40539.0,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,48670.0,219.98,37.8,28.1,37.8
6,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,12.23,3.36,4321282.0,71418.0,1574.0,45658.0,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,75420.0,56.31,54.5,29.2,54.5
6,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,16.7,5.13,11594739.0,71158.0,9859.0,17661.0,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe,30528.0,377.38,86.1,41.4,86.1
6,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,0.0,0.0,4276658.0,70045.0,469.0,61610.0,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,17818.0,232.17,60.2,29.3,60.2
6,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,19.5,5.68,19224023.0,57895.0,2566.0,28992.0,26337.0,458.0,3012.0,133.0,1319369.0,68631.0,Europe,238391.0,84.63,54.5,41.1,54.5
6,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,2.63,0.69,17946899.0,54339.0,2119.0,42070.0,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas,108889.0,152.55,23.8,22.1,23.8
5,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,19.51,5.59,10193593.0,52061.0,1743.0,37840.0,12478.0,42.0,5107.0,171.0,1705474.0,167308.0,Europe,92090.0,112.26,91.1,42.2,91.1
6,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,18.65,5.65,37842302.0,49515.0,1774.0,35642.0,12099.0,72.0,1308.0,47.0,2374686.0,62752.0,Europe,312685.0,124.03,78.1,40.7,78.1
4,8.533,0.74,50.102,0.737,0.037,0.878,2.43,9.84,2.49,206606300.0,45244.0,930.0,32430.0,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa,923768.0,215.06,8.6,18.4,8.6
5,8.648,0.812,67.3,0.857,0.081,0.809,2.43,6.34,1.57,9919704.0,45098.0,1423.0,6116.0,37559.0,52.0,4546.0,143.0,109292.0,11018.0,Americas,112090.0,85.69,24.7,23.0,24.7
6,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.54,0.32,1706669.0,42889.0,156.0,39945.0,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean,760.0,2012.1,70.7,32.3,70.7
5,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,15.58,4.93,126435859.0,42263.0,1026.0,28877.0,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific,377915.0,347.13,45.9,47.3,45.9
5,8.58,0.727,57.586,0.807,0.123,0.848,2.43,4.37,1.16,31133483.0,39642.0,199.0,36384.0,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa,238533.0,130.82,9.9,21.1,9.9
5,8.538,0.893,64.401,0.935,0.119,0.908,2.43,8.38,1.51,6534479.0,38659.0,1447.0,30099.0,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe,199951.0,32.97,39.0,26.5,39.0
2,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.022,0.003,39009447.0,36896.0,1298.0,25840.0,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean,652230.0,56.94,17.3,27.4,17.3
7,11.117,0.942,74.4,0.919,0.025,0.292,2.43,17.18,5.45,8660952.0,36108.0,1985.0,31600.0,2523.0,23.0,4169.0,229.0,822764.0,94997.0,Europe,41277.0,215.47,72.9,42.4,72.9
5,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.67,0.32,10148243.0,33247.0,479.0,29275.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe,86600.0,120.26,15.9,32.3,15.9
4,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.87,0.13,36953359.0,29644.0,449.0,20553.0,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean,716550.0,80.73,20.6,29.3,20.6
6,8.836,0.918,65.255,0.97,0.311,0.515,2.43,4.48,0.79,33516027.0,28315.0,175.0,19291.0,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe,447400.0,74.81,20.7,28.6,20.7
5,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,20.61,5.89,4032983.0,26628.0,828.0,18676.0,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe,33851.0,94.26,22.7,36.7,22.7
7,11.342,0.947,72.4,0.879,0.077,0.363,2.43,19.38,6.34,4943200.0,26372.0,1768.0,23364.0,1240.0,5.0,5335.0,358.0,652917.0,132084.0,Europe,70273.0,70.65,106.3,36.8,106.3
4,8.361,0.688,60.704,0.779,0.287,0.825,2.43,3.51,0.83,53881160.0,24411.0,399.0,10444.0,13568.0,44.0,453.0,7.0,335318.0,6223.0,Africa,580387.0,90.3,14.3,19.7,14.3
4,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,5.72,1.51,28427499.0,22299.0,195.0,12146.0,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas,912050.0,32.73,56.6,28.3,56.6
7,10.906,0.934,73.3,0.908,0.042,0.481,2.43,18.42,5.76,9011577.0,21696.0,719.0,19596.0,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe,83871.0,107.13,94.1,44.0,94.1
7,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,6.49,1.68,5098730.0,21070.0,200.0,7038.0,13832.0,103.0,4132.0,39.0,96110.0,18850.0,Americas,51100.0,97.91,40.4,31.3,40.4
4,7.694,0.764,59.0,0.752,0.082,0.761,2.43,3.66,0.78,115223736.0,20900.0,365.0,9027.0,11508.0,185.0,181.0,3.0,468814.0,4069.0,Africa,1104300.0,96.72,7.9,17.9,7.9
7,10.796,0.94,73.9,0.914,0.159,0.442,2.43,15.72,5.11,25528864.0,19890.0,255.0,10941.0,8694.0,52.0,779.0,10.0,4631419.0,181419.0,WesternPacific,7741220.0,3.25,108.2,38.7,108.2
6,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,6.91,1.75,6489514.0,19126.0,513.0,9236.0,9377.0,509.0,2947.0,79.0,251271.0,38720.0,Americas,21041.0,309.88,21.4,27.1,21.4
5,8.189,0.71,53.515,0.731,0.026,0.848,2.43,8.76,2.32,26606188.0,17718.0,391.0,15320.0,2007.0,30.0,666.0,15.0,149000.0,5600.0,Africa,475440.0,53.34,14.4,18.5,14.4
7,10.933,0.954,72.7,0.946,0.03,0.179,2.43,15.58,4.8,5794279.0,14306.0,617.0,12787.0,902.0,2.0,2469.0,106.0,1654512.0,285542.0,Europe,43094.0,144.84,145.9,42.2,145.9
5,10.016,0.931,67.0,0.788,-0.096,0.932,2.43,19.86,5.59,6942854.0,13014.0,435.0,7374.0,5205.0,47.0,1874.0,63.0,294087.0,42358.0,Europe,110879.0,64.71,69.4,42.7,69.4
4,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,3.22,0.77,27755708.0,12526.0,134.0,10148.0,2244.0,88.0,451.0,5.0,46301.0,1668.0,Africa,587041.0,45.14,17.6,19.7,17.6
5,9.693,0.805,65.474,0.751,0.038,0.905,2.43,10.36,2.54,2083365.0,11399.0,517.0,7480.0,3402.0,3.0,5471.0,248.0,109946.0,52773.0,Europe,25713.0,82.59,35.4,37.9,35.4
5,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,1.3,0.22,16783877.0,10715.0,223.0,7101.0,3391.0,33.0,638.0,13.0,114761.0,6838.0,Africa,196722.0,82.35,17.7,18.8,17.7
7,11.053,0.954,73.3,0.96,0.093,0.27,2.43,10.8,3.45,5425471.0,9468.0,256.0,8857.0,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe,323802.0,14.55,61.7,39.2,61.7
5,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.48,0.35,32406372.0,9038.0,125.0,8713.0,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific,329847.0,95.96,50.9,28.5,50.9
4,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,12.24,3.7,2230563.0,7787.0,51.0,5609.0,2127.0,11.0,3491.0,23.0,85369.0,38272.0,Africa,267667.0,8.22,46.0,18.6,46.0
4,7.838,0.639,55.008,0.697,0.095,0.766,2.43,1.94,0.36,13164905.0,7664.0,49.0,6757.0,858.0,24.0,582.0,4.0,14407.0,1094.0,Africa,245857.0,50.52,6.5,18.9,6.5
7,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,18.74,6.08,626952.0,7073.0,119.0,5750.0,1204.0,9.0,11282.0,190.0,623994.0,995282.0,Europe,2586.0,250.19,141.7,39.3,141.7
4,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.0,0.0,4660728.0,6444.0,157.0,5291.0,996.0,3.0,1383.0,34.0,57387.0,12313.0,Africa,1030700.0,4.27,29.9,20.5,29.9
5,9.448,0.893,65.9,0.876,0.028,0.882,2.43,10.96,2.94,7141091.0,6375.0,66.0,4974.0,1335.0,23.0,893.0,9.0,135277.0,18943.0,Americas,406752.0,17.51,70.3,28.2,70.3
4,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,2.58,0.49,6822220.0,5672.0,70.0,1974.0,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean,10400.0,669.49,63.1,30.5,63.1
5,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,13.96,3.99,4102577.0,5404.0,155.0,4688.0,561.0,7.0,1317.0,38.0,125317.0,30546.0,Europe,56594.0,72.24,49.9,43.0,49.9
5,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,16.72,4.6,10417673.0,5123.0,210.0,1374.0,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe,131957.0,83.27,78.7,44.5,78.7
5,9.826,0.913,70.6,0.854,0.024,0.825,2.43,3.95,0.57,541448.0,4680.0,19.0,2725.0,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia,298.0,1718.99,16.6,28.2,16.6
5,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,17.66,5.24,9657785.0,4597.0,600.0,3463.0,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe,93028.0,107.12,100.7,42.3,100.7
3,6.958,0.537,57.948,0.78,0.038,0.729,2.43,6.76,1.56,19174839.0,4491.0,137.0,2137.0,2217.0,4.0,234.0,7.0,33466.0,1745.0,Africa,118484.0,192.44,5.1,16.5,5.1
5,9.805,0.888,67.401,0.884,0.287,0.895,2.43,13.75,3.61,69817894.0,3330.0,58.0,3148.0,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia,513120.0,135.9,27.9,37.7,27.9
4,9.47,0.827,67.299,0.841,0.079,0.863,2.43,4.75,1.19,21422362.0,2839.0,11.0,2541.0,287.0,1.0,133.0,0.5,166737.0,7783.0,South-EastAsia,65610.0,350.28,6.6,32.8,6.6
4,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,5.3,1.2,2545264.0,2652.0,15.0,563.0,2074.0,24.0,1042.0,6.0,29233.0,11485.0,Africa,824292.0,2.97,34.0,21.2,34.0
6,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,17.26,5.3,5459915.0,2480.0,29.0,1824.0,627.0,2.0,454.0,5.0,272322.0,49877.0,Europe,49035.0,113.29,67.4,40.5,67.4
6,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,18.68,5.67,2078968.0,2223.0,125.0,1909.0,189.0,2.0,1069.0,60.0,135702.0,65274.0,Europe,20273.0,102.99,88.0,44.5,88.0
6,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,20.6,6.3,2718121.0,2171.0,81.0,1656.0,434.0,6.0,799.0,30.0,540784.0,198955.0,Europe,65300.0,44.73,49.5,43.7,49.5
5,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,3.59,0.9,12151976.0,1936.0,38.0,1600.0,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa,112622.0,101.85,16.2,18.2,16.2
4,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,3.61,0.53,11830801.0,1642.0,51.0,1241.0,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean,163610.0,74.44,25.5,31.6,25.5
6,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,10.82,3.38,3474956.0,1318.0,37.0,1079.0,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas,176215.0,19.71,98.6,35.0,98.6
4,9.182,0.767,67.0,0.755,-0.167,0.705,2.43,0.89,0.14,10213138.0,1232.0,11.0,1171.0,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean,89342.0,112.14,29.8,22.5,29.8
4,7.362,0.569,54.914,0.619,0.032,0.772,2.43,4.25,1.1,8296582.0,1012.0,22.0,697.0,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa,56785.0,145.05,8.5,19.8,8.5
3,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,11.1,2.61,2356075.0,804.0,2.0,63.0,739.0,1.0,341.0,0.8,68423.0,29041.0,Africa,581730.0,3.98,27.3,24.5,27.3
